time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,E1,"(50, 39)",9,26
3,E2,"(63, 75)",8,16
4,E3,"(52, 91)",2,12
6,E4,"(69, 29)",3,26
8,E5,"(99, 22)",8,18
9,E6,"(52, 31)",0,28
13,E7,"(94, 3)",6,27
21,E8,"(4, 46)",8,30
24,E9,"(20, 35)",8,12
25,E10,"(61, 78)",4,22
28,E11,"(31, 55)",6,25
29,E12,"(15, 50)",7,25
30,E13,"(45, 50)",6,20
31,E14,"(98, 53)",7,14
34,E15,"(39, 43)",7,14
36,E16,"(22, 67)",5,20
38,E17,"(61, 26)",9,15
39,E18,"(99, 15)",2,12
43,E19,"(47, 67)",9,24
44,E20,"(83, 14)",3,19
45,E21,"(47, 62)",3,24
46,E22,"(11, 63)",0,18
47,E23,"(0, 8)",4,10
49,E24,"(68, 80)",3,30
50,E25,"(5, 72)",2,14
54,E26,"(56, 74)",6,25
55,E27,"(31, 74)",7,21
59,E28,"(60, 26)",1,22
64,E29,"(23, 90)",0,11
66,E30,"(42, 79)",3,23
67,E31,"(74, 45)",3,22
72,E32,"(19, 99)",1,18
74,E33,"(43, 87)",5,29
78,E34,"(13, 58)",6,24
79,E35,"(42, 96)",8,21
82,E36,"(87, 40)",0,26
86,E37,"(87, 6)",6,22
87,E38,"(24, 45)",5,27
88,E39,"(64, 65)",1,25
89,E40,"(87, 12)",0,13
90,E41,"(73, 0)",1,24
91,E42,"(66, 47)",1,11
94,E43,"(48, 41)",0,29
95,E44,"(75, 46)",6,21
98,E45,"(44, 8)",5,12
99,E46,"(10, 51)",8,13
