time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(65, 95)",2,13.0
0,Greedy,T2,"(14, 48)",7,27.0
0,Greedy,T3,"(65, 80)",5,12.0
0,Greedy,T4,"(22, 99)",8,16.0
0,Greedy,T5,"(91, 85)",8,30.0
0,Greedy,T6,"(25, 45)",5,13.0
0,Greedy,T7,"(11, 86)",7,14.0
0,Greedy,T8,"(28, 7)",1,24.0
0,Greedy,T9,"(52, 85)",2,16.0
0,Greedy,T10,"(50, 1)",3,15.0
0,Auction,T1,"(65, 95)",2,13.0
0,Auction,T2,"(14, 48)",7,27.0
0,Auction,T3,"(65, 80)",5,12.0
0,Auction,T4,"(22, 99)",8,16.0
0,Auction,T5,"(91, 85)",8,30.0
0,Auction,T6,"(25, 45)",5,13.0
0,Auction,T7,"(11, 86)",7,14.0
0,Auction,T8,"(28, 7)",1,24.0
0,Auction,T9,"(52, 85)",2,16.0
0,Auction,T10,"(50, 1)",3,15.0
0,Q-Learning,T1,"(65, 95)",2,13.0
0,Q-Learning,T2,"(14, 48)",7,27.0
0,Q-Learning,T3,"(65, 80)",5,12.0
0,Q-Learning,T4,"(22, 99)",8,16.0
0,Q-Learning,T5,"(91, 85)",8,30.0
0,Q-Learning,T6,"(25, 45)",5,13.0
0,Q-Learning,T7,"(11, 86)",7,14.0
0,Q-Learning,T8,"(28, 7)",1,24.0
0,Q-Learning,T9,"(52, 85)",2,16.0
0,Q-Learning,T10,"(50, 1)",3,15.0
1,Greedy,T8,"(28, 7)",2,24.0
1,Auction,T1,"(65, 95)",3,13.0
1,Q-Learning,T1,"(65, 95)",3,13.0
1,Q-Learning,T2,"(14, 48)",8,27.0
1,Q-Learning,T3,"(65, 80)",6,12.0
1,Q-Learning,T6,"(25, 45)",6,13.0
1,Q-Learning,T8,"(28, 7)",2,24.0
1,Q-Learning,T9,"(52, 85)",3,16.0
1,Q-Learning,E1,"(36, 26)",6,19.0
2,Greedy,T8,"(28, 7)",3,24.0
2,Greedy,E2,"(27, 81)",10,21.0
2,Auction,T1,"(65, 95)",4,13.0
2,Auction,E2,"(27, 81)",10,21.0
2,Q-Learning,T1,"(65, 95)",4,13.0
2,Q-Learning,T3,"(65, 80)",7,12.0
2,Q-Learning,T6,"(25, 45)",7,13.0
2,Q-Learning,T8,"(28, 7)",3,24.0
2,Q-Learning,T9,"(52, 85)",4,16.0
2,Q-Learning,E1,"(36, 26)",7,19.0
3,Greedy,T8,"(28, 7)",4,24.0
3,Greedy,E2,"(27, 81)",11,21.0
3,Greedy,E3,"(32, 79)",6,21.0
3,Auction,T1,"(65, 95)",5,13.0
3,Auction,E2,"(27, 81)",11,21.0
3,Auction,E3,"(32, 79)",6,21.0
3,Q-Learning,T1,"(65, 95)",5,13.0
3,Q-Learning,T6,"(25, 45)",8,13.0
3,Q-Learning,T8,"(28, 7)",4,24.0
3,Q-Learning,T9,"(52, 85)",5,16.0
3,Q-Learning,E3,"(32, 79)",6,21.0
4,Greedy,T8,"(28, 7)",5,24.0
4,Greedy,E2,"(27, 81)",12,21.0
4,Greedy,E3,"(32, 79)",7,21.0
4,Auction,T1,"(65, 95)",6,13.0
4,Auction,E2,"(27, 81)",12,21.0
4,Auction,E3,"(32, 79)",7,21.0
4,Q-Learning,T1,"(65, 95)",6,13.0
4,Q-Learning,T8,"(28, 7)",5,24.0
4,Q-Learning,T9,"(52, 85)",6,16.0
4,Q-Learning,E3,"(32, 79)",7,21.0
5,Greedy,T8,"(28, 7)",6,24.0
5,Greedy,E2,"(27, 81)",13,21.0
5,Greedy,E3,"(32, 79)",8,21.0
5,Auction,T1,"(65, 95)",7,13.0
5,Auction,E2,"(27, 81)",13,21.0
5,Auction,E3,"(32, 79)",8,21.0
5,Q-Learning,T1,"(65, 95)",7,13.0
5,Q-Learning,T8,"(28, 7)",6,24.0
5,Q-Learning,T9,"(52, 85)",7,16.0
6,Greedy,T8,"(28, 7)",7,24.0
6,Greedy,E2,"(27, 81)",14,21.0
6,Greedy,E3,"(32, 79)",9,21.0
6,Greedy,E4,"(96, 32)",8,15.0
6,Auction,T1,"(65, 95)",8,13.0
6,Auction,E2,"(27, 81)",14,21.0
6,Auction,E3,"(32, 79)",9,21.0
6,Auction,E4,"(96, 32)",8,15.0
6,Q-Learning,T1,"(65, 95)",8,13.0
6,Q-Learning,T8,"(28, 7)",7,24.0
6,Q-Learning,T9,"(52, 85)",8,16.0
6,Q-Learning,E4,"(96, 32)",8,15.0
7,Greedy,T8,"(28, 7)",8,24.0
7,Greedy,E2,"(27, 81)",15,21.0
7,Greedy,E3,"(32, 79)",10,21.0
7,Greedy,E4,"(96, 32)",9,15.0
7,Greedy,E5,"(89, 39)",10,12.0
7,Auction,T1,"(65, 95)",9,13.0
7,Auction,E2,"(27, 81)",15,21.0
7,Auction,E3,"(32, 79)",10,21.0
7,Auction,E4,"(96, 32)",9,15.0
7,Auction,E5,"(89, 39)",10,12.0
7,Q-Learning,T1,"(65, 95)",9,13.0
7,Q-Learning,T8,"(28, 7)",8,24.0
7,Q-Learning,T9,"(52, 85)",9,16.0
7,Q-Learning,E4,"(96, 32)",9,15.0
7,Q-Learning,E5,"(89, 39)",10,12.0
8,Greedy,T8,"(28, 7)",9,24.0
8,Greedy,E2,"(27, 81)",16,21.0
8,Greedy,E3,"(32, 79)",11,21.0
8,Greedy,E4,"(96, 32)",10,15.0
8,Greedy,E5,"(89, 39)",11,12.0
8,Greedy,E6,"(44, 59)",5,14.0
