time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
5,D1,"(21, 5)",6,21
14,D2,"(45, 34)",5,30
15,D3,"(12, 57)",1,16
19,D4,"(41, 40)",2,14
20,D5,"(76, 4)",7,12
22,D6,"(63, 11)",1,13
23,D7,"(47, 2)",9,29
24,D8,"(1, 19)",5,10
31,D9,"(85, 22)",0,18
33,D10,"(42, 18)",8,15
35,D11,"(44, 33)",7,14
36,D12,"(100, 15)",3,23
37,D13,"(41, 66)",0,21
40,D14,"(3, 59)",3,10
42,D15,"(48, 55)",6,28
43,D16,"(52, 59)",5,13
44,D17,"(97, 67)",1,12
46,D18,"(94, 31)",3,27
47,D19,"(54, 39)",8,17
50,D20,"(72, 45)",4,29
51,D21,"(65, 58)",6,19
54,D22,"(29, 87)",5,30
66,D23,"(8, 38)",0,27
70,D24,"(44, 97)",5,17
71,D25,"(73, 99)",9,24
73,D26,"(3, 87)",1,17
74,D27,"(54, 87)",8,13
75,D28,"(85, 70)",2,15
77,D29,"(12, 0)",6,22
79,D30,"(58, 34)",3,29
80,D31,"(88, 9)",7,17
81,D32,"(2, 26)",4,27
84,D33,"(0, 79)",3,24
85,D34,"(48, 96)",5,22
87,D35,"(62, 43)",6,20
89,D36,"(75, 16)",2,16
90,D37,"(34, 39)",4,11
92,D38,"(77, 57)",2,25
93,D39,"(9, 32)",5,11
94,D40,"(81, 42)",8,28
95,D41,"(66, 99)",5,22
99,D42,"(93, 60)",9,13
