time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(46, 20)",6,26.0
0,Greedy,T2,"(45, 97)",6,29.0
0,Greedy,T3,"(8, 37)",5,11.0
0,Greedy,T4,"(20, 67)",6,24.0
0,Greedy,T5,"(92, 42)",10,17.0
0,Greedy,T6,"(38, 31)",7,14.0
0,Greedy,T7,"(83, 36)",9,14.0
0,Greedy,T8,"(87, 11)",4,12.0
0,Greedy,T9,"(5, 56)",4,18.0
0,Greedy,T10,"(11, 98)",4,23.0
0,Auction,T1,"(46, 20)",6,26.0
0,Auction,T2,"(45, 97)",6,29.0
0,Auction,T3,"(8, 37)",5,11.0
0,Auction,T4,"(20, 67)",6,24.0
0,Auction,T5,"(92, 42)",10,17.0
0,Auction,T6,"(38, 31)",7,14.0
0,Auction,T7,"(83, 36)",9,14.0
0,Auction,T8,"(87, 11)",4,12.0
0,Auction,T9,"(5, 56)",4,18.0
0,Auction,T10,"(11, 98)",4,23.0
0,Q-Learning,T1,"(46, 20)",6,26.0
0,Q-Learning,T2,"(45, 97)",6,29.0
0,Q-Learning,T3,"(8, 37)",5,11.0
0,Q-Learning,T4,"(20, 67)",6,24.0
0,Q-Learning,T5,"(92, 42)",10,17.0
0,Q-Learning,T6,"(38, 31)",7,14.0
0,Q-Learning,T7,"(83, 36)",9,14.0
0,Q-Learning,T8,"(87, 11)",4,12.0
0,Q-Learning,T9,"(5, 56)",4,18.0
0,Q-Learning,T10,"(11, 98)",4,23.0
1,Greedy,D1,"(26, 1)",2,21.0
1,Auction,D1,"(26, 1)",2,21.0
1,Q-Learning,T9,"(5, 56)",5,18.0
1,Q-Learning,D1,"(26, 1)",2,21.0
2,Greedy,D1,"(26, 1)",3,21.0
2,Auction,D1,"(26, 1)",3,21.0
2,Q-Learning,D1,"(26, 1)",3,21.0
3,Greedy,D1,"(26, 1)",4,21.0
3,Greedy,D2,"(34, 16)",1,16.0
3,Auction,D1,"(26, 1)",4,21.0
3,Auction,D2,"(34, 16)",1,16.0
3,Q-Learning,D1,"(26, 1)",4,21.0
3,Q-Learning,D2,"(34, 16)",1,16.0
4,Greedy,D1,"(26, 1)",5,21.0
4,Greedy,D2,"(34, 16)",2,16.0
4,Greedy,D3,"(23, 78)",6,24.0
4,Auction,D1,"(26, 1)",5,21.0
4,Auction,D2,"(34, 16)",2,16.0
4,Auction,D3,"(23, 78)",6,24.0
4,Q-Learning,D1,"(26, 1)",5,21.0
4,Q-Learning,D2,"(34, 16)",2,16.0
4,Q-Learning,D3,"(23, 78)",6,24.0
5,Greedy,D1,"(26, 1)",6,21.0
5,Greedy,D2,"(34, 16)",3,16.0
5,Greedy,D3,"(23, 78)",7,24.0
5,Greedy,D4,"(9, 18)",8,12.0
5,Auction,D1,"(26, 1)",6,21.0
5,Auction,D2,"(34, 16)",3,16.0
5,Auction,D3,"(23, 78)",7,24.0
5,Auction,D4,"(9, 18)",8,12.0
5,Q-Learning,D1,"(26, 1)",6,21.0
5,Q-Learning,D2,"(34, 16)",3,16.0
5,Q-Learning,D3,"(23, 78)",7,24.0
5,Q-Learning,D4,"(9, 18)",8,12.0
6,Greedy,D1,"(26, 1)",7,21.0
6,Greedy,D2,"(34, 16)",4,16.0
6,Greedy,D3,"(23, 78)",8,24.0
6,Greedy,D4,"(9, 18)",9,12.0
6,Auction,D1,"(26, 1)",7,21.0
6,Auction,D2,"(34, 16)",4,16.0
6,Auction,D3,"(23, 78)",8,24.0
6,Auction,D4,"(9, 18)",9,12.0
6,Q-Learning,D1,"(26, 1)",7,21.0
6,Q-Learning,D2,"(34, 16)",4,16.0
6,Q-Learning,D3,"(23, 78)",8,24.0
6,Q-Learning,D4,"(9, 18)",9,12.0
7,Greedy,D1,"(26, 1)",8,21.0
7,Greedy,D2,"(34, 16)",5,16.0
7,Greedy,D3,"(23, 78)",9,24.0
7,Greedy,D4,"(9, 18)",10,12.0
7,Auction,D1,"(26, 1)",8,21.0
7,Auction,D2,"(34, 16)",5,16.0
7,Auction,D3,"(23, 78)",9,24.0
7,Auction,D4,"(9, 18)",10,12.0
7,Q-Learning,D1,"(26, 1)",8,21.0
7,Q-Learning,D2,"(34, 16)",5,16.0
7,Q-Learning,D3,"(23, 78)",9,24.0
7,Q-Learning,D4,"(9, 18)",10,12.0
8,Greedy,D1,"(26, 1)",9,21.0
8,Greedy,D2,"(34, 16)",6,16.0
8,Greedy,D3,"(23, 78)",10,24.0
8,Greedy,D4,"(9, 18)",11,12.0
8,Greedy,D5,"(54, 12)",7,16.0
8,Auction,D1,"(26, 1)",9,21.0
8,Auction,D2,"(34, 16)",6,16.0
8,Auction,D3,"(23, 78)",10,24.0
8,Auction,D4,"(9, 18)",11,12.0
8,Auction,D5,"(54, 12)",7,16.0
8,Q-Learning,D1,"(26, 1)",9,21.0
8,Q-Learning,D2,"(34, 16)",6,16.0
8,Q-Learning,D3,"(23, 78)",10,24.0
8,Q-Learning,D4,"(9, 18)",11,12.0
8,Q-Learning,D5,"(54, 12)",7,16.0
9,Greedy,D1,"(26, 1)",10,21.0
9,Greedy,D2,"(34, 16)",7,16.0
9,Greedy,D3,"(23, 78)",11,24.0
9,Greedy,D4,"(9, 18)",12,12.0
9,Greedy,D5,"(54, 12)",8,16.0
9,Auction,D1,"(26, 1)",10,21.0
9,Auction,D2,"(34, 16)",7,16.0
