time_step,method,vehicle_id,position,battery,busy,remaining_duration,idle_time
0,Greedy,V1,"(75, 19)",98.0,False,0.0,0.0
0,Greedy,V2,"(51, 29)",84.0,False,0.0,0.0
0,Greedy,V3,"(25, 43)",88.0,False,0.0,0.0
0,Greedy,V4,"(20, 9)",62.0,False,0.0,0.0
0,Greedy,V5,"(79, 43)",66.0,False,0.0,0.0
0,Greedy,V6,"(46, 31)",96.0,False,0.0,0.0
0,Greedy,V7,"(28, 96)",82.0,False,0.0,0.0
0,Greedy,V8,"(86, 49)",56.0,False,0.0,0.0
0,Greedy,V9,"(66, 4)",66.0,False,0.0,0.0
0,Greedy,V10,"(51, 46)",69.0,False,0.0,0.0
0,Auction,V1,"(75, 19)",98.0,False,0.0,0.0
0,Auction,V2,"(51, 29)",84.0,False,0.0,0.0
0,Auction,V3,"(25, 43)",88.0,False,0.0,0.0
0,Auction,V4,"(20, 9)",62.0,False,0.0,0.0
0,Auction,V5,"(79, 43)",66.0,False,0.0,0.0
0,Auction,V6,"(46, 31)",96.0,False,0.0,0.0
0,Auction,V7,"(28, 96)",82.0,False,0.0,0.0
0,Auction,V8,"(86, 49)",56.0,False,0.0,0.0
0,Auction,V9,"(66, 4)",66.0,False,0.0,0.0
0,Auction,V10,"(51, 46)",69.0,False,0.0,0.0
0,Q-Learning,V1,"(75, 19)",98.0,False,0.0,0.0
0,Q-Learning,V2,"(51, 29)",84.0,False,0.0,0.0
0,Q-Learning,V3,"(25, 43)",88.0,False,0.0,0.0
0,Q-Learning,V4,"(20, 9)",62.0,False,0.0,0.0
0,Q-Learning,V5,"(79, 43)",66.0,False,0.0,0.0
0,Q-Learning,V6,"(46, 31)",96.0,False,0.0,0.0
0,Q-Learning,V7,"(28, 96)",82.0,False,0.0,0.0
0,Q-Learning,V8,"(86, 49)",56.0,False,0.0,0.0
0,Q-Learning,V9,"(66, 4)",66.0,False,0.0,0.0
0,Q-Learning,V10,"(51, 46)",69.0,False,0.0,0.0
1,Greedy,V1,"(75, 19)",65.83644321911694,True,32.163556780883056,1.0
