task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T6,27.0,12.061186600920417,39.061186600920415,1.4467106148489042,39.061186600920415
T9,22.0,15.336956093769787,37.336956093769786,1.6971343678986266,37.336956093769786
T10,17.0,7.304657739508268,24.30465773950827,1.4296857493828394,24.30465773950827
T5,20.0,2.4267032964268394,22.42670329642684,1.121335164821342,22.42670329642684
T4,13.0,9.6006687009902,22.600668700990198,1.738512976999246,22.600668700990198
T8,21.0,4.6173585522460785,25.617358552246078,1.2198742167736227,25.617358552246078
T1,21.0,9.25,30.25,1.4404761904761905,30.25
T7,26.0,3.026549190084311,29.02654919008431,1.1164057380801657,29.02654919008431
T3,20.0,6.811754546370561,26.81175454637056,1.340587727318528,26.81175454637056
T2,27.0,10.266754599190534,37.266754599190534,1.3802501703403902,37.266754599190534
D2,24.0,0.6758625033664688,24.675862503366467,1.0281609376402694,24.675862503366467
D1,21.0,5.177408189003022,26.17740818900302,1.246543247095382,26.17740818900302
D7,24.0,0.9938079899999066,24.993807989999908,1.0414086662499962,24.993807989999908
D5,17.0,2.5495097567963922,19.549509756796393,1.1499711621644937,19.549509756796393
D4,11.0,0.7071067811865476,11.707106781186548,1.0642824346533226,11.707106781186548
D8,23.0,10.4,33.4,1.452173913043478,33.4
D13,10.0,8.838834764831844,18.838834764831844,1.8838834764831844,18.838834764831844
D9,12.0,9.7182531580755,21.7182531580755,1.8098544298396249,21.7182531580755
D16,26.0,1.5461646096066226,27.546164609606624,1.0594678696002549,27.546164609606624
D3,30.0,2.3570226039551585,32.35702260395516,1.0785674201318387,32.35702260395516
D11,27.0,3.869794392726222,30.86979439272622,1.1433257182491192,30.86979439272622
D6,14.0,6.938219432166217,20.938219432166218,1.495587102297587,20.938219432166218
D17,10.0,7.718024438583225,17.718024438583225,1.7718024438583224,17.718024438583225
D10,17.0,4.0,21.0,1.2352941176470589,21.0
D12,22.0,3.655285366576885,25.655285366576884,1.1661493348444039,25.655285366576884
D37,11.0,3.40147027033899,14.40147027033899,1.3092245700308174,14.40147027033899
