time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
6,D1,"(78, 78)",1,13
8,D2,"(39, 65)",4,23
9,D3,"(10, 98)",3,28
10,D4,"(22, 98)",3,28
11,D5,"(14, 98)",4,25
12,D6,"(75, 16)",2,10
13,D7,"(59, 79)",0,27
14,D8,"(12, 27)",3,18
15,D9,"(61, 73)",1,16
16,D10,"(5, 49)",6,11
17,D11,"(86, 90)",4,15
19,D12,"(99, 71)",3,11
20,D13,"(13, 100)",3,29
21,D14,"(91, 9)",8,28
22,D15,"(5, 65)",2,16
28,D16,"(62, 40)",4,23
30,D17,"(40, 6)",1,28
32,D18,"(33, 74)",2,14
34,D19,"(24, 81)",2,19
42,D20,"(55, 32)",2,15
43,D21,"(12, 15)",3,14
44,D22,"(33, 14)",0,16
45,D23,"(21, 27)",3,15
46,D24,"(85, 62)",6,20
51,D25,"(50, 14)",2,29
53,D26,"(0, 10)",6,17
54,D27,"(5, 50)",5,23
55,D28,"(76, 48)",8,16
60,D29,"(62, 50)",8,28
66,D30,"(31, 9)",3,15
67,D31,"(24, 22)",0,24
71,D32,"(6, 31)",4,12
74,D33,"(11, 100)",2,27
75,D34,"(36, 19)",8,29
78,D35,"(34, 27)",0,14
80,D36,"(15, 21)",7,27
82,D37,"(56, 88)",9,16
92,D38,"(37, 94)",4,29
95,D39,"(98, 57)",7,18
96,D40,"(10, 90)",7,13
98,D41,"(54, 28)",7,23
