time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(93, 51)",5,10.0
0,Greedy,T2,"(69, 14)",9,19.0
0,Greedy,T3,"(25, 80)",1,30.0
0,Greedy,T4,"(77, 77)",1,25.0
0,Greedy,T5,"(39, 58)",3,16.0
0,Greedy,T6,"(85, 23)",4,11.0
0,Greedy,T7,"(51, 68)",4,13.0
0,Greedy,T8,"(5, 7)",4,19.0
0,Greedy,T9,"(99, 66)",6,30.0
0,Greedy,T10,"(78, 47)",1,28.0
0,Auction,T1,"(93, 51)",5,10.0
0,Auction,T2,"(69, 14)",9,19.0
0,Auction,T3,"(25, 80)",1,30.0
0,Auction,T4,"(77, 77)",1,25.0
0,Auction,T5,"(39, 58)",3,16.0
0,Auction,T6,"(85, 23)",4,11.0
0,Auction,T7,"(51, 68)",4,13.0
0,Auction,T8,"(5, 7)",4,19.0
0,Auction,T9,"(99, 66)",6,30.0
0,Auction,T10,"(78, 47)",1,28.0
0,Q-Learning,T1,"(93, 51)",5,10.0
0,Q-Learning,T2,"(69, 14)",9,19.0
0,Q-Learning,T3,"(25, 80)",1,30.0
0,Q-Learning,T4,"(77, 77)",1,25.0
0,Q-Learning,T5,"(39, 58)",3,16.0
0,Q-Learning,T6,"(85, 23)",4,11.0
0,Q-Learning,T7,"(51, 68)",4,13.0
0,Q-Learning,T8,"(5, 7)",4,19.0
0,Q-Learning,T9,"(99, 66)",6,30.0
0,Q-Learning,T10,"(78, 47)",1,28.0
1,Greedy,T10,"(78, 47)",2,28.0
1,Auction,T3,"(25, 80)",2,30.0
1,Q-Learning,T3,"(25, 80)",2,30.0
2,Greedy,T10,"(78, 47)",3,28.0
2,Greedy,D2,"(87, 30)",8,30.0
2,Auction,T3,"(25, 80)",3,30.0
2,Auction,D2,"(87, 30)",8,30.0
2,Q-Learning,T3,"(25, 80)",3,30.0
2,Q-Learning,D2,"(87, 30)",8,30.0
3,Greedy,T10,"(78, 47)",4,28.0
3,Greedy,D2,"(87, 30)",9,30.0
3,Auction,T3,"(25, 80)",4,30.0
3,Auction,D2,"(87, 30)",9,30.0
3,Q-Learning,T3,"(25, 80)",4,30.0
3,Q-Learning,D2,"(87, 30)",9,30.0
4,Greedy,T10,"(78, 47)",5,28.0
4,Greedy,D2,"(87, 30)",10,30.0
4,Auction,T3,"(25, 80)",5,30.0
4,Auction,D2,"(87, 30)",10,30.0
4,Q-Learning,T3,"(25, 80)",5,30.0
4,Q-Learning,D2,"(87, 30)",10,30.0
5,Greedy,T10,"(78, 47)",6,28.0
5,Greedy,D2,"(87, 30)",11,30.0
5,Greedy,D3,"(71, 63)",4,18.0
5,Auction,T3,"(25, 80)",6,30.0
5,Auction,D2,"(87, 30)",11,30.0
5,Auction,D3,"(71, 63)",4,18.0
5,Q-Learning,T3,"(25, 80)",6,30.0
5,Q-Learning,D2,"(87, 30)",11,30.0
